cnt,wave,index,quartile,statistic,computed,official,difference,source_table
PER,2022,escs,Q1,estimate,350.70324501936733,350.69912000000005,0.004125019367279492,Table I.B1.2b.24
PER,2022,escs,Q1,se,2.4198618965297696,2.4241400000000004,-0.004278103470230832,Table I.B1.2b.24
PER,2022,escs,Q2,estimate,378.63468386522163,378.56545000000006,0.06923386522157671,Table I.B1.2b.24
PER,2022,escs,Q2,se,2.996919120486133,2.9952400000000003,0.0016791204861328346,Table I.B1.2b.24
PER,2022,escs,Q3,estimate,400.2165732922587,400.26409,-0.047516707741294795,Table I.B1.2b.24
PER,2022,escs,Q3,se,3.735228575013862,3.7245800000000004,0.010648575013861628,Table I.B1.2b.24
PER,2022,escs,Q4,estimate,436.69382801242864,436.69383000000005,-1.987571408790245e-06,Table I.B1.2b.24
PER,2022,escs,Q4,se,3.829987439409446,3.83204,-0.00205256059055392,Table I.B1.2b.24
PER,2025,escs,Q1,estimate,350.42002612919975,350.42003000000005,-3.870800298955146e-06,Table I.B1.2b.24
PER,2025,escs,Q1,se,2.597258986772574,2.5979900000000002,-0.0007310132274263026,Table I.B1.2b.24
PER,2025,escs,Q2,estimate,372.39780324849994,372.35572,0.042083248499920956,Table I.B1.2b.24
PER,2025,escs,Q2,se,3.6634665378284463,3.6659200000000003,-0.002453462171553955,Table I.B1.2b.24
PER,2025,escs,Q3,estimate,392.37846779751794,392.39984000000004,-0.021372202482098146,Table I.B1.2b.24
PER,2025,escs,Q3,se,3.1950984415530774,3.17538,0.019718441553077337,Table I.B1.2b.24
PER,2025,escs,Q4,estimate,424.89792190456757,424.89792000000006,1.9045675117013161e-06,Table I.B1.2b.24
PER,2025,escs,Q4,se,4.82959755823109,4.81773,0.011867558231090314,Table I.B1.2b.24
URY,2015,escs,Q1,estimate,379.60857383026405,379.61769000000004,-0.009116169735989388,Table I.B1.2b.24
URY,2015,escs,Q1,se,3.5007432772158107,3.5108800000000002,-0.010136722784189534,Table I.B1.2b.24
URY,2015,escs,Q2,estimate,401.55060847232687,401.52931,0.021298472326861884,Table I.B1.2b.24
URY,2015,escs,Q2,se,3.4898226131627488,3.47426,0.01556261316274865,Table I.B1.2b.24
URY,2015,escs,Q3,estimate,422.7470318319065,422.74703000000005,1.8319064452043676e-06,Table I.B1.2b.24
URY,2015,escs,Q3,se,3.376944379402501,3.3788500000000004,-0.0019056205974994356,Table I.B1.2b.24
URY,2015,escs,Q4,estimate,469.84994690656487,469.84995000000004,-3.0934351684663852e-06,Table I.B1.2b.24
