cnt,index,field,new,existing,difference
CHL,homepos,Q4-Q2_2022,45.612315601123726,45.61231560112354,1.8474111129762605e-13
CHL,homepos,Q4-Q2_2025,35.39020986916381,35.39020986916386,-4.973799150320701e-14
CHL,homepos,Q4-Q2_change,-10.222105731959914,-10.22210573195968,-2.3447910280083306e-13
CHL,homepos,Q4-Q2_se,5.5538957343581155,5.553895734358116,-8.881784197001252e-16
CHL,homepos,Q4-Q3_2022,28.617985578976914,28.6179855789768,1.1368683772161603e-13
CHL,homepos,Q4-Q3_2025,24.287293773534145,24.28729377353422,-7.460698725481052e-14
CHL,homepos,Q4-Q3_change,-4.330691805442768,-4.33069180544258,-1.8829382497642655e-13
CHL,homepos,Q4-Q3_se,5.531459226857753,5.531459226857753,0.0
COL,homepos,Q1_2022,345.054323691981,345.054323691981,0.0
COL,homepos,Q1_2025,348.11236911872385,348.11236911872385,0.0
COL,homepos,Q1_change,3.058045426742865,3.058045426742865,0.0
COL,homepos,Q1_se,4.072110989573608,4.072110989573608,0.0
COL,homepos,Q2_2022,366.4046636703896,366.4046636703896,0.0
COL,homepos,Q2_2025,368.14295221569745,368.1429522156975,-5.684341886080802e-14
COL,homepos,Q2_change,1.738288545307853,1.738288545307853,0.0
COL,homepos,Q2_se,4.981764864133293,4.981764864133293,0.0
COL,homepos,Q3_2022,391.7630618812412,391.7630618812412,0.0
COL,homepos,Q3_2025,390.7331957846096,390.7331957846096,0.0
COL,homepos,Q3_change,-1.0298660966315651,-1.0298660966315651,0.0
COL,homepos,Q3_se,6.1580606164244225,6.158060616424422,8.881784197001252e-16
COL,homepos,Q4_2022,431.6554415291657,431.6554415291657,0.0
COL,homepos,Q4_2025,422.81803331041317,422.8180333104132,-5.684341886080802e-14
COL,homepos,Q4_change,-8.837408218752557,-8.837408218752557,0.0
COL,homepos,Q4_se,7.327382321442074,7.327382321442074,0.0
COL,homepos,Q2-Q1_2022,21.350339978408613,21.3503399784086,1.4210854715202004e-14
COL,homepos,Q2-Q1_2025,20.0305830969736,20.030583096973647,-4.618527782440651e-14
COL,homepos,Q2-Q1_change,-1.319756881435012,-1.3197568814349552,-5.684341886080802e-14
COL,homepos,Q2-Q1_se,4.824543967039035,4.824543967039036,-8.881784197001252e-16
COL,homepos,Q3-Q1_2022,46.7087381892602,46.70873818926022,-1.4210854715202004e-14
COL,homepos,Q3-Q1_2025,42.62082666588577,42.62082666588582,-4.973799150320701e-14
COL,homepos,Q3-Q1_change,-4.08791152337443,-4.087911523374395,-3.552713678800501e-14
COL,homepos,Q3-Q1_se,6.450742970628053,6.4507429706280535,-8.881784197001252e-16
COL,homepos,Q4-Q1_2022,86.60111783718474,86.60111783718469,5.684341886080802e-14
COL,homepos,Q4-Q1_2025,74.70566419168932,74.70566419168932,0.0
COL,homepos,Q4-Q1_change,-11.895453645495422,-11.895453645495364,-5.861977570020827e-14
