cnt,index,n_systems,countries,status,wave,group,estimate,se,ci_low,ci_high
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2025,Q3,404.1933684246005,1.3500920964296728,401.5471879155984,406.83954893360266
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2022,Q4,441.00498958108176,1.5612829218694906,437.94487505421756,444.06510410794596
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2025,Q4,442.7688276949069,1.7428790769356417,439.35278470411305,446.1848706857008
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2022,Q2-Q1,18.998459696175416,1.2157416022573295,16.61560615575105,21.381313236599784
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2025,Q2-Q1,20.00172222289268,1.2509285986558072,17.5499021695273,22.453542276258062
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2022,Q3-Q1,37.01741171256725,1.3762418976940347,34.319977593086946,39.71484583204756
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2025,Q3-Q1,40.30100351869197,1.5040608044788624,37.3530443419134,43.24896269547054
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2022,Q4-Q1,76.4330518142454,1.7762304287941606,72.95164017380885,79.91446345468195
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2025,Q4-Q1,78.87646278899837,2.0099617937938805,74.93693767316236,82.81598790483437
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2022,Q3-Q2,18.018952016391836,1.2576498168465537,15.553958375372591,20.48394565741108
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2025,Q3-Q2,20.29928129579929,1.3643565571776195,17.625142443731157,22.973420147867422
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2022,Q4-Q2,57.434592118069986,1.6518575888952272,54.19695124383534,60.67223299230463
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2025,Q4-Q2,58.874740566105686,1.8751914892425203,55.19936524719034,62.55011588502103
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2022,Q4-Q3,39.41564010167815,1.5641875468417015,36.34983250986841,42.48144769348789
LATAM7,escs_cc,7,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,2025,Q4-Q3,38.575459270306396,1.728058172102198,35.18846525298609,41.9624532876267
ARG,escs_h_cc,1,ARG,both cycles,2022,Q1,351.4807690520613,2.6679647293905475,346.2515581824558,356.7099799216668
ARG,escs_h_cc,1,ARG,both cycles,2025,Q1,351.9243308962799,3.065555633151809,345.91584185530235,357.9328199372575
ARG,escs_h_cc,1,ARG,both cycles,2022,Q2,370.1054448070223,3.6674403273116964,362.9172617654914,377.29362784855323
ARG,escs_h_cc,1,ARG,both cycles,2025,Q2,366.993342140593,3.3261374666902865,360.47411270588003,373.5125715753059
ARG,escs_h_cc,1,ARG,both cycles,2022,Q3,390.52413963429365,3.092277099102881,384.463276520052,396.5850027485353
ARG,escs_h_cc,1,ARG,both cycles,2025,Q3,391.5982956405514,4.550371349644122,382.6795677952489,400.5170234858539
ARG,escs_h_cc,1,ARG,both cycles,2022,Q4,424.6548427278214,3.6645751504438855,417.4722754329514,431.8374100226914
ARG,escs_h_cc,1,ARG,both cycles,2025,Q4,437.3820852600514,5.614214071944829,426.37822567903953,448.38594484106324
ARG,escs_h_cc,1,ARG,both cycles,2022,Q2-Q1,18.624675754961004,3.82620815609273,11.125307769019253,26.124043740902756
ARG,escs_h_cc,1,ARG,both cycles,2025,Q2-Q1,15.06901124431306,3.7646260603313886,7.6903441660635385,22.44767832256258
ARG,escs_h_cc,1,ARG,both cycles,2022,Q3-Q1,39.04337058223234,3.563353371608756,32.05919797387918,46.027543190585504
ARG,escs_h_cc,1,ARG,both cycles,2025,Q3-Q1,39.67396474427147,4.633441975716447,30.592418471867237,48.75551101667571
ARG,escs_h_cc,1,ARG,both cycles,2022,Q4-Q1,73.1740736757601,4.680103727872929,64.00107036912915,82.34707698239104
ARG,escs_h_cc,1,ARG,both cycles,2025,Q4-Q1,85.45775436377147,6.152040800301502,73.39975439518052,97.51575433236242
ARG,escs_h_cc,1,ARG,both cycles,2022,Q3-Q2,20.418694827271338,3.478392289769456,13.601045939323203,27.236343715219473
ARG,escs_h_cc,1,ARG,both cycles,2025,Q3-Q2,24.604953499958413,4.542588489266621,15.701480060995834,33.50842693892099
ARG,escs_h_cc,1,ARG,both cycles,2022,Q4-Q2,54.549397920799095,4.116988527858303,46.48010040619682,62.61869543540137
ARG,escs_h_cc,1,ARG,both cycles,2025,Q4-Q2,70.38874311945841,5.471735416020668,59.6641417040579,81.11334453485892
ARG,escs_h_cc,1,ARG,both cycles,2022,Q4-Q3,34.13070309352776,3.868361546283094,26.548714462812892,41.71269172424262
ARG,escs_h_cc,1,ARG,both cycles,2025,Q4-Q3,45.7837896195,5.203065334945552,35.58578156300672,55.98179767599328
BRA,escs_h_cc,1,BRA,both cycles,2022,Q1,355.08257810178685,1.9055985366799202,351.34760496989423,358.81755123367947
BRA,escs_h_cc,1,BRA,both cycles,2025,Q1,352.91951169010025,1.6557007683348695,349.6743381841639,356.1646851960366
BRA,escs_h_cc,1,BRA,both cycles,2022,Q2,371.66573418541003,2.112468598781889,367.52529573179754,375.8061726390225
BRA,escs_h_cc,1,BRA,both cycles,2025,Q2,380.11043141218397,1.9898643357390813,376.21029731413535,384.0105655102326
BRA,escs_h_cc,1,BRA,both cycles,2022,Q3,389.0754453811996,2.6182073555983503,383.94375896422684,394.2071317981723
BRA,escs_h_cc,1,BRA,both cycles,2025,Q3,405.91297540124623,2.5630097290788045,400.8894763322518,410.9364744702407
BRA,escs_h_cc,1,BRA,both cycles,2022,Q4,432.526620305886,3.890484580511893,424.9012705280827,440.1519700836893
BRA,escs_h_cc,1,BRA,both cycles,2025,Q4,444.0645783780512,3.717054702716225,436.7791511607274,451.35000559537497
BRA,escs_h_cc,1,BRA,both cycles,2022,Q2-Q1,16.58315608362318,2.447817011050591,11.785434741964021,21.38087742528234
BRA,escs_h_cc,1,BRA,both cycles,2025,Q2-Q1,27.19091972208372,2.104104239842612,23.0668754119922,31.31496403217524
BRA,escs_h_cc,1,BRA,both cycles,2022,Q3-Q1,33.992867279412735,3.162424491507936,27.794515276057183,40.19121928276829
BRA,escs_h_cc,1,BRA,both cycles,2025,Q3-Q1,52.99346371114598,2.868252193261253,47.37168941235392,58.61523800993803
BRA,escs_h_cc,1,BRA,both cycles,2022,Q4-Q1,77.44404220409916,4.3108739614429465,68.99472923967099,85.89335516852734
BRA,escs_h_cc,1,BRA,both cycles,2025,Q4-Q1,91.14506668795093,3.819324560539257,83.65919054929398,98.63094282660788
BRA,escs_h_cc,1,BRA,both cycles,2022,Q3-Q2,17.409711195789555,2.9074539249133644,11.71110150295936,23.10832088861975
BRA,escs_h_cc,1,BRA,both cycles,2025,Q3-Q2,25.802543989062258,2.5250928020559718,20.85336209703255,30.751725881091964
BRA,escs_h_cc,1,BRA,both cycles,2022,Q4-Q2,60.86088612047598,4.4135916820985495,52.21024642356282,69.51152581738914
BRA,escs_h_cc,1,BRA,both cycles,2025,Q4-Q2,63.95414696586721,3.5431853126921076,57.00950375299068,70.89879017874374
BRA,escs_h_cc,1,BRA,both cycles,2022,Q4-Q3,43.45117492468643,3.931928818727908,35.74459443997973,51.157755409393125
BRA,escs_h_cc,1,BRA,both cycles,2025,Q4-Q3,38.15160297680495,3.2978797789812693,31.687758610001666,44.61544734360824
CHL,escs_h_cc,1,CHL,both cycles,2022,Q1,390.5826092404309,2.4397607881496604,385.80067809565753,395.36454038520424
CHL,escs_h_cc,1,CHL,both cycles,2025,Q1,382.9741788318374,3.2244947995561275,376.65416902470736,389.2941886389674
CHL,escs_h_cc,1,CHL,both cycles,2022,Q2,408.27853660489404,2.867774726769938,402.65769814042494,413.89937506936315
CHL,escs_h_cc,1,CHL,both cycles,2025,Q2,398.7527218508324,3.1722334833865,392.53514422339487,404.97029947826996
CHL,escs_h_cc,1,CHL,both cycles,2022,Q3,420.19194285987453,2.9659241426131153,414.3787315403528,426.00515417939624
CHL,escs_h_cc,1,CHL,both cycles,2025,Q3,417.98776326223305,2.8900218334296124,412.323320468711,423.6522060557551
CHL,escs_h_cc,1,CHL,both cycles,2022,Q4,456.96979448592083,3.6646425330379198,449.7870951211665,464.15249385067517
CHL,escs_h_cc,1,CHL,both cycles,2025,Q4,457.3769159611531,3.4152426881417544,450.6830402923953,464.0707916299109
CHL,escs_h_cc,1,CHL,both cycles,2022,Q2-Q1,17.69592736446316,3.4799738315537976,10.875178654617716,24.516676074308602
CHL,escs_h_cc,1,CHL,both cycles,2025,Q2-Q1,15.778543018995038,3.573687411431967,8.774115692588381,22.782970345401694
