cnt,index,wave,group,statistic,computed,official,difference,source_table
ARG,escs,change,Q4,se,6.981039988365637,6.99096,-0.009920011634362957,Table I.B1.2b.24
ARG,escs,2022,Q4-Q1,estimate,74.78018739335891,74.79655000000001,-0.016362606641095567,Table I.B1.2b.24
ARG,escs,2022,Q4-Q1,se,4.272236011734626,4.25903,0.013206011734625989,Table I.B1.2b.24
ARG,escs,2025,Q4-Q1,estimate,79.17714773801708,79.26057,-0.08342226198291769,Table I.B1.2b.24
ARG,escs,2025,Q4-Q1,se,6.291233777630714,6.338970000000001,-0.047736222369286985,Table I.B1.2b.24
ARG,escs,change,Q4-Q1,estimate,4.396960344658169,4.46403,-0.06706965534183151,Table I.B1.2b.24
ARG,escs,change,Q4-Q1,se,7.604710578632418,7.636880000000001,-0.032169421367582274,Table I.B1.2b.24
BRA,escs,2022,Q1,estimate,348.10894502960826,348.10684000000003,0.0021050296082307796,Table I.B1.2b.24
BRA,escs,2022,Q1,se,1.7966819977896482,1.7923300000000002,0.00435199778964801,Table I.B1.2b.24
BRA,escs,2025,Q1,estimate,341.57667593558637,341.59129,-0.01461406441364943,Table I.B1.2b.24
BRA,escs,2025,Q1,se,1.6163952671764155,1.6126600000000002,0.003735267176415258,Table I.B1.2b.24
BRA,escs,change,Q1,estimate,-6.532269094021899,-6.51555,-0.01671909402189886,Table I.B1.2b.24
BRA,escs,change,Q1,se,2.7072495010493065,2.7021300000000004,0.005119501049306141,Table I.B1.2b.24
BRA,escs,2022,Q2,estimate,365.0199885644702,365.01836000000003,0.001628564470195215,Table I.B1.2b.24
BRA,escs,2022,Q2,se,2.007004456255008,2.00251,0.004494456255007773,Table I.B1.2b.24
BRA,escs,2025,Q2,estimate,367.19414714120273,367.18293000000006,0.011217141202678249,Table I.B1.2b.24
BRA,escs,2025,Q2,se,1.6551690056438633,1.66067,-0.0055009943561368235,Table I.B1.2b.24
BRA,escs,change,Q2,estimate,2.174158576732509,2.1645700000000003,0.009588576732508791,Table I.B1.2b.24
BRA,escs,change,Q2,se,2.8733345305883815,2.8733700000000004,-3.5469411618915814e-05,Table I.B1.2b.24
BRA,escs,2022,Q3,estimate,379.4974949460746,379.49749,4.946074568579206e-06,Table I.B1.2b.24
BRA,escs,2022,Q3,se,2.756352369942032,2.76799,-0.011637630057968362,Table I.B1.2b.24
BRA,escs,2025,Q3,estimate,387.8101194453932,387.81012000000004,-5.54606856439932e-07,Table I.B1.2b.24
BRA,escs,2025,Q3,se,2.4374624003103356,2.4291,0.008362400310335527,Table I.B1.2b.24
BRA,escs,change,Q3,estimate,8.312624499318588,8.31262,4.4993185870367824e-06,Table I.B1.2b.24
BRA,escs,change,Q3,se,3.8764805352551015,3.8795200000000003,-0.003039464744898801,Table I.B1.2b.24
BRA,escs,2022,Q4,estimate,425.4064475167026,425.40645,-2.4832974077071412e-06,Table I.B1.2b.24
BRA,escs,2022,Q4,se,3.886243976407431,3.8696300000000003,0.016613976407430453,Table I.B1.2b.24
BRA,escs,2025,Q4,estimate,431.99680582398094,431.99681000000004,-4.176019103852013e-06,Table I.B1.2b.24
BRA,escs,2025,Q4,se,3.8109647994650624,3.81111,-0.00014520053493782825,Table I.B1.2b.24
BRA,escs,change,Q4,estimate,6.590358307278336,6.59036,-1.692721664170449e-06,Table I.B1.2b.24
BRA,escs,change,Q4,se,5.578059245555288,5.566590000000001,0.011469245555287166,Table I.B1.2b.24
BRA,escs,2022,Q4-Q1,estimate,77.29750248709433,77.29961,-0.0021075129056669084,Table I.B1.2b.24
BRA,escs,2022,Q4-Q1,se,4.2550806787276425,4.2464200000000005,0.00866067872764198,Table I.B1.2b.24
BRA,escs,2025,Q4-Q1,estimate,90.42012988839457,90.40552000000001,0.014609888394559789,Table I.B1.2b.24
BRA,escs,2025,Q4-Q1,se,3.889856104256365,3.8809600000000004,0.008896104256364445,Table I.B1.2b.24
BRA,escs,change,Q4-Q1,estimate,13.122627401300235,13.105910000000002,0.016717401300233803,Table I.B1.2b.24
BRA,escs,change,Q4-Q1,se,5.765127240079077,5.752730000000001,0.01239724007907661,Table I.B1.2b.24
CHL,escs,2022,Q1,estimate,383.74230080287316,383.7463,-0.003999197126859144,Table I.B1.2b.24
CHL,escs,2022,Q1,se,2.4967566571567517,2.50299,-0.006233342843248391,Table I.B1.2b.24
CHL,escs,2025,Q1,estimate,377.5920471563294,377.53746,0.05458715632937583,Table I.B1.2b.24
CHL,escs,2025,Q1,se,3.334809668948006,3.32119,0.013619668948005703,Table I.B1.2b.24
CHL,escs,change,Q1,estimate,-6.150253646543774,-6.208850000000001,0.0585963534562266,Table I.B1.2b.24
CHL,escs,change,Q1,se,4.340869651713313,4.334020000000001,0.006849651713312532,Table I.B1.2b.24
CHL,escs,2022,Q2,estimate,403.4320295756664,403.41188000000005,0.02014957566632347,Table I.B1.2b.24
CHL,escs,2022,Q2,se,2.992397979228967,2.9947500000000002,-0.0023520207710330254,Table I.B1.2b.24
CHL,escs,2025,Q2,estimate,392.04530464802474,391.71877,0.3265346480247331,Table I.B1.2b.24
CHL,escs,2025,Q2,se,3.0986577959014814,3.1468800000000003,-0.04822220409851896,Table I.B1.2b.24
CHL,escs,change,Q2,estimate,-11.386724927641637,-11.693100000000001,0.3063750723583638,Table I.B1.2b.24
CHL,escs,change,Q2,se,4.477111323408726,4.512180000000001,-0.03506867659127444,Table I.B1.2b.24
CHL,escs,2022,Q3,estimate,415.17643839549316,415.17644,-1.604506849162135e-06,Table I.B1.2b.24
CHL,escs,2022,Q3,se,3.387339867458523,3.3775100000000005,0.009829867458522656,Table I.B1.2b.24
CHL,escs,2025,Q3,estimate,408.3447237308966,408.67597,-0.33124626910341703,Table I.B1.2b.24
CHL,escs,2025,Q3,se,3.287988048419083,3.2397500000000004,0.048238048419082524,Table I.B1.2b.24
CHL,escs,change,Q3,estimate,-6.831714664596575,-6.500470000000001,-0.3312446645965741,Table I.B1.2b.24
